id,vurdering,type,navn,område,koordinater,begrundelse,vurderet,kategorier,score,antal_objekter,tæt_på_spot,auto_koordinater,osm,osm_status,fundet
k-way1028929626,lovende,flydebro,The Island,Ebeltoft,"56.1975681, 10.6728337","Flydebro (35 m) i Ebeltoft Museumshavn (ved Fregatten Jylland). Stort, beskyttet bassin med dybt vand og få både. Tjek havnens regler.",2026-09-24,flydebro bro havn,6.0,7,,"56.1976338, 10.6729303",way/1028929626 way/1117848604 node/5802446436 way/256294029 way/256294030 way/33969090 way/33969092,ok,2026-09-24
k-way105727896,,,Toldbodens Bådehavn,Indre By,,,,flydebro bro havn,6.0,2,,"55.6882002, 12.5995703",way/105727896 node/1422600147,ok,2026-09-24
k-way105997673,,,Roklubben Lillebælt,Snoghøj,,,,roklub badebro vinterbad badested bro,6.0,4,,"55.5169283, 9.6986324",way/105997673 node/12338922556 node/5299338330 way/164389269,ok,2026-09-24
k-way108849102,på kortet,,,Sundbyøster,,,,flydebro bro slæbested,6.0,9,sundby-kajakklub,"55.6656968, 12.6344269",way/108849102 way/108849003 way/108849027 way/108849047 way/108849063 way/108849084 way/108849101 way/429460977 way/507791808,ok,2026-09-24
k-way1133614818,på kortet,,Spodsbjerg Turistbådehavn,Spodsbjerg,,,,flydebro bro havn,6.0,11,spot-7,"54.9336712, 10.8331432",way/1133614818 node/2870465642 way/1133614815 way/1133614816 way/1133614817 way/26205042 way/26205044 way/26205046 way/26205047 way/26205048 way/26205049,ok,2026-09-24
k-way1148190301,,,Skagen Lystbådehavn,Kappelborg,,,,flydebro bro havn,6.0,6,,"57.7182247, 10.5887223",way/1148190301 way/123978639 way/483487966 way/483487967 way/483487968 node/2244918043,ok,2026-09-24
k-way1174959785,,,,Faaborg,,,,flydebro bro slæbested,6.0,9,,"55.0940879, 10.2356568",way/1174959785 way/1174959786 way/379780170 way/379780172 way/379785896 way/544385975 way/544385976 way/692533339 way/692533340,ok,2026-09-24
k-way1202448666,,,8,Nordhavn,,,,flydebro bro havn,6.0,3,,"55.7199092, 12.5976483",way/1202448666 way/1202448669 node/11155391224,ok,2026-09-24
k-way1210759488,lovende,badebro,Søbadet,Landsbyen Sølund,"56.0216382, 9.9267321","Søbad/vinterbad ved Skanderborg Sø med lang bro (ca. 75 m fast + flydende del i OSM). Åbent vand, men kan være vindudsat.",2026-09-24,flydebro vinterbad bro,6.0,4,,"56.0215243, 9.9269896",way/1210759488 node/9512891278 way/49613394 way/901861836,ok,2026-09-24
k-way1258196871,,,Haverslev Havn,Haverslev,,,,flydebro bro havn,6.0,5,,"57.0287070, 9.4026410",way/1258196871 node/2246091372 way/1258196872 way/215201127 way/436156066,ok,2026-09-24
k-way126542024,,,B,Østerbro,,,,flydebro bro havn,6.0,8,,"55.6969717, 12.5965155",way/126542024 way/126542027 way/126542030 way/126542031 way/126542033 way/126542041 node/1422600141 way/921258632,ok,2026-09-24
k-way1272082056,,,Udbyhøj Havns kjakklub,Udbyhøj Vasehuse,,,,flydebro kajakklub bro,6.0,13,,"56.6102011, 10.3031863",way/1272082056 way/1272082057 way/1272082058 way/1272082059 way/1272082060 node/11812505702 way/1272082055 way/1272082061 way/1272082062 way/1272082071 way/363976742 way/363976743 way/363976744,ok,2026-09-24
k-way1306082456,,,,Tissinghuse,,,,flydebro bro havn,6.0,10,,"56.7186432, 8.6270568",way/1306082456 way/1306082459 node/11039765130 way/1306082455 way/1306082458 way/1306082460 way/446149804 way/446149805 way/446149806 way/895042846,ok,2026-09-24
k-way1320467165,på kortet,,Hey Captain,Kødbyen,,,,flydebro udlejning bro,6.0,3,kalvebod-boelge,"55.6664742, 12.5704514",way/1320467165 node/12219392623 way/921982451,ok,2026-09-24
k-way134206361,,,,Skovshoved,,,,flydebro bro slæbested,6.0,7,,"55.7601624, 12.6003918",way/134206361 node/1646213530 way/151782261 way/165343922 way/383657590 way/383657595 way/43109702,ok,2026-09-24
